OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_84754,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces aphidis
OTU_5097,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,Monascus_u_s
OTU_89489,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Monascus,Monascus ruber
OTU_5073,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_u_s
OTU_47248,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium carneum
OTU_68879,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium paneum
OTU_5082,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti
OTU_53655,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia fermentans
OTU_4909,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia kudriavzevii
OTU_208348,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia triticina
OTU_4839,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Rhizomucor,Rhizomucor miehei
OTU_4840,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Rhizomucor,Rhizomucor pusillus
OTU_86630,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus azygosporus
OTU_5533,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_u_s
OTU_4930,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces_u_s
OTU_41687,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium_u_s
OTU_563466,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium apiospermum
OTU_5597,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium boydii
OTU_5541,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Thermomyces,Thermomyces lanuginosus
OTU_78579,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermothelomyces,Thermothelomyces thermophila
OTU_63577,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma atroviride
OTU_5269,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_u_s
OTU_5270,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago maydis
OTU_1708541,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola
OTU_4952,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Yarrowia,Yarrowia lipolytica
OTU_155619,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_u_o,Agaricomycetes_u_f,Agaricomycetes_u_g,Agaricomycetes_u_s
OTU_5754,Eukaryota,Eukaryota_u_p,Eukaryota_u_c,Longamoebia,Acanthamoebidae,Acanthamoeba,Acanthamoeba_u_s
OTU_5866,Eukaryota,Apicomplexa,Aconoidasida,Aconoidasida_u_o,Babesiidae,Babesia,Babesia bigemina
OTU_71585,Eukaryota,Eukaryota_u_p,Litostomatea,Vestibuliferida,Balantidiidae,Neobalantidium,Neobalantidium coli
OTU_12967,Eukaryota,Eukaryota_u_p,Eukaryota_u_c,Eukaryota_u_o,Eukaryota_u_f,Blastocystis,Blastocystis_u_s
OTU_46681,Eukaryota,Eukaryota_u_p,Eukaryota_u_c,Eukaryota_u_o,Entamoebidae,Entamoeba,Entamoeba dispar
OTU_5741,Eukaryota,Eukaryota_u_p,Eukaryota_u_c,Eukaryota_u_o,Hexamitidae,Giardia,Giardia intestinalis
