"Label","Target","Correlation","p","Type"
"exc1","Rom",1,0,"undirected"
"traF","ant6 Ib",0.806956135970525,1.71338061782933e-05,"undirected"
"baeR","baeS",0.946449944907315,2.82950995966758e-10,"undirected"
"traF","blaAmpC",1,0,"undirected"
"ant6 Ib","blaAmpC",0.806956135970525,1.71338061782933e-05,"undirected"
"Transposon 807609","cfxA 2366",0.752981111321511,0.000127263273910216,"undirected"
"ompA","cpxA",0.843651363903117,2.96238305619312e-06,"undirected"
"traF","crp",0.77230733210122,6.60336159170605e-05,"undirected"
"blaAmpC","crp",0.77230733210122,6.60336159170605e-05,"undirected"
"baeR","emrA",0.946449944907315,2.82950995966758e-10,"undirected"
"baeS","emrA",1,0,"undirected"
"a 2394 Branch","emrK",1,0,"undirected"
"transposon 46242809","emrR",1,0,"undirected"
"int","ermG",0.935620509252844,1.4264007752729e-09,"undirected"
"int","ermQ",1,0,"undirected"
"ermG","ermQ",0.935620509252844,1.4264007752729e-09,"undirected"
"repB","marA",0.879046417012103,3.36573795056694e-07,"undirected"
"int","mdtA",1,0,"undirected"
"ermG","mdtA",0.935620509252844,1.4264007752729e-09,"undirected"
"ermQ","mdtA",1,0,"undirected"
"int","mdtE",0.941385095640207,6.26377394397082e-10,"undirected"
"ermG","mdtE",0.874163571992581,4.71761652409697e-07,"undirected"
"ermQ","mdtE",0.941385095640207,6.26377394397082e-10,"undirected"
"mdtA","mdtE",0.941385095640207,6.26377394397082e-10,"undirected"
"ompA","mdtF",0.843651363903117,2.96238305619312e-06,"undirected"
"cpxA","mdtF",1,0,"undirected"
"baeR","mdtL",0.946449944907314,2.82950995966758e-10,"undirected"
"baeS","mdtL",1,0,"undirected"
"emrA","mdtL",1,0,"undirected"
"ompA","mdtP",0.843651363903117,2.96238305619312e-06,"undirected"
"cpxA","mdtP",1,0,"undirected"
"mdtF","mdtP",1,0,"undirected"
"rteC","pbp2",0.776577582096269,5.66403087529643e-05,"undirected"
"aph3 III","tet 32",0.888587551012269,1.66566977544136e-07,"undirected"
